Name,WBIC,Depth_feet,Area_acres,Volume_acre_ft
Alpine Lake,245650,18,56.3,399.36
Bailey Lake,254900,30,12.7,183.9
Beans Lake,101300,12,20,90.2
Bughs Lake,102100,18,29.7,256.7
Gooseneck Lake,186700,17,19.3,91.4
Hills Lake,182100,22,132.5,1649
Irogami Lake,103900,5,288.5,706
Johns Lake,245800,41,73,15975
Lyman Lake,105600,27,8.9,NA
McAllister Lake,192300,28,11.76,138.8
McLean Lake,192400,31,12.3,NA
Mirror Lake,258700,43,12.6,326.5
Norwegian Lake,247200,43,62.15,570.78
Old Taylor Lake,195000,17,55.2,265
Round Lake,197300,19,63.4,629.5
Shadow Lake,258600,41,42.5,741.1
Silver Lake,107900,50,344.3,7095.9
Spencer Lake,255000,53,68.84,2044.26
Stratton Lake,259600,42,87.2,653.9
Twin Lake,182300,13,93.1,512.8
Wild Rose Pond,251600,7,16.71,48.5
Wilson Lake,250000,12,80.75,300.72
Wolf Lake,241100,17,21.45,164.88
